ID,Name
1225,Keen Software House
1226,Kele Line Ltd.
1227,Kemco
1228,Kemco-Seika
1229,Kenny Guillaume
1230,Kepler Interactive
1231,Kevin Pokefan
1232,Keypunch Software
1233,Kiary Games
1234,Kids Station
1235,KillHouse Games
1236,Killer Bean Studios
1237,Killmonday Games HB
1238,Kindly Beast
1239,Kinetic Games
1240,King
1241,King Art
1242,King Art Games
1243,King Games
1244,King Key Games
1245,KingsIsle Entertainment
1246,Kirbymimi
1247,Kirin Entertainment
1248,Kitfox Games
1249,Kitkorp
1250,Kixx
1251,Klabater
1252,Klei Entertainment
1253,KnapNok Games
1254,Knowledge Adventure
1255,Koch Media
1256,Koch Media Poland
1257,Koei
1258,Koei Tecmo
1259,Koei Tecmo America Corporation
1260,Koei Tecmo Europe
1261,Koei Tecmo Games
1262,Kokutou Umeboshi
1263,Kompas Productions
1264,Konami
1265,Konami Digital Entertainment
1266,Konami Industry
1267,Kongregate
1268,Koram Game
1269,Kotobuki Systems
1270,KranX Productions
1271,Krillbite Studio
1272,Krisalis Software
1273,Krome Studios
1274,Ktulhu Solutions
1275,Kuju Wireless Publishing
1276,Kunos Simulazioni
1277,Kural Electric
1278,Kuro Games
1279,Kyle Seeley
1280,Kyodai
1281,Kyodai Software Marketing
1282,Kyugo
1283,L.K. Avalon
1284,LEVEL-5
1285,LG Electronics
1286,LGG_Production
1287,LGS Games Productions
1288,LINE Games Corporation
1289,LJN
1290,LJN Toys
1291,LK Avalon
1292,LKA
1293,LLC
1294,LOOT Interactive
1295,LSP
1296,LTD.
1297,LWMedia
1298,Lace Games
1299,Lace Mamba Global
1300,Lag Studios
1301,Laguna Video Games
1302,Laiker2003
1303,Landfall Games
1304,Larian Studios
1305,Laser
1306,Laser Disc Corporation
1307,League of Geeks
1308,LeapFrog Enterprises
1309,Left Behind Games
1310,Legacy Interactive
1311,Legend Entertainment
1312,Lego Group
1313,Lego Interactive
1314,Lego Media
1315,Lego Software
1316,Leland Corporation
1317,Leprechaun
1318,Levande Böcker
1319,Level 77 Pty Ltd
1320,Level Infinite
1321,Level Up! Games
1322,Lighthouse Interactive
1323,Lightning Games
1324,Lightstorm Entertainment
1325,Lilith Games
1326,Lima Sky
1327,Limasse Five
1328,Limited Run
1329,Limited Run Games
1330,Lince Works
1331,Linux Game Publishing
1332,Lionsgate Games
1333,Liquid Bit
1334,Little Flag Software
1335,Little Green Men Games
1336,Little Orbit
1337,Live Motion Games
1338,Live Wire
1339,Livedoor
1340,Liveware
1341,Llamasoft LTD
1342,Load'N'Go Software
1343,Lobotomy Software
1344,Locis
1345,Lofty Sky Entertainment
1346,Logic Artists
1347,Logicware
